First,Second,Third
"[('convenient', 'NN'), ('accessible', 'JJ')]","[('sometimes', 'RB'), ('emergencies', 'NNS'), ('cant', 'VBP'), ('contact', 'NN'), ('professor', 'NN')]","[('able', 'JJ'), ('monitor', 'NN'), ('grades', 'NNS'), ('certain', 'JJ'), ('semester', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('canvas', 'NN'), ('complete', 'JJ'), ('modules', 'NNS'), ('every', 'DT'), ('subjects', 'NNS'), ('students', 'NNS'), ('able', 'JJ'), ('advance', 'NN'), ('study', 'NN'), ('face', 'NN'), ('face', 'VBP'), ('discussion', 'NN'), ('class', 'NN')]","[('like', 'IN'), ('least', 'JJS'), ('canvas', 'NN'), ('submitting', 'VBG'), ('files', 'NNS'), ('answers', 'NNS'), ('given', 'VBN'), ('tasks', 'NNS')]","[('highly', 'RB'), ('suggest', 'JJ'), ('guidance', 'NN'), ('students', 'NNS'), ('difficulties', 'NNS'), ('using', 'VBG'), ('canvas', 'NN'), ('app', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('gives', 'VBZ'), ('aware', 'JJ'), ('next', 'JJ'), ('meeting', 'NN')]","[('none', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('give', 'VB'), ('enough', 'JJ'), ('time', 'NN'), ('every', 'DT'), ('task', 'NN')]"
"[('give', 'VB'), ('lot', 'NN'), ('time', 'NN'), ('answer', 'VB'), ('assignment', 'NN'), ('quiz', 'NN')]","[('use', 'NN'), ('material', 'NN'), ('learn', 'NN')]","[('improve', 'VB'), ('handouts', 'NNS'), ('lacks', 'VBZ'), ('information', 'NN')]"
"[('easily', 'RB'), ('access', 'NN'), ('account', 'NN'), ('another', 'DT'), ('device', 'NN')]","[('connection', 'NN')]","[('improve', 'VB'), ('connection', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessibility', 'NN'), ('communicate', 'NN'), ('professor', 'NN'), ('outside', 'IN'), ('university', 'NN'), ('grounds', 'NNS')]","[('assignments', 'NNS'), ('forums', 'NNS'), ('appear', 'VBP'), ('due', 'JJ')]","[('improve', 'VB'), ('canvas', 'NN'), ('overall', 'JJ')]"
"[('gives', 'VBZ'), ('free', 'JJ'), ('time', 'NN'), ('tasks', 'NNS')]","[('used', 'VBN'), ('wherever', 'RB'), ('long', 'JJ'), ('internet', 'NN'), ('connection', 'NN')]","[('suggestion', 'NN'), ('give', 'VB')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
